AKCE;AKCE_NAZEV;POPIS
200;Všeobecná pokladní správa;
154;Fond rezerv a rozvoje;
132;Fond rozvoje bydlení;
131;Sociální fond;
0;Ostatní;
141;Svoz komunálního odpadu;
18;Správní poplatky - Evidence obyvatel;
11;Správní poplatky - Rybářský lístek;
21;Správní poplatky - Odbor dopravy;
360;Novoměstská karta;
15;Správní poplatky - Živnostenský úřad;
246;Městská hromadná doprava - provoz;
10;Správní poplatky - Odbor stavební;
16;Správní poplatky - Občanské průkazy;
32;Správní poplatky - Ověřený výstup z inf. systému veř. správy - RT;
24;Správní poplatky - Ověřování listin a podpisů;
124;Vnitřní správa;
17;Správní poplatky - Pasy;
299;Nebytové hospodářství;
126;Bytové hospodářství;
121;Čištění - koše;
208;Výpočetní technika;
122;Sbor dobrovolných hasičů;
123;Městská policie;
147;Veřejné WC;
233;Městské lázně;
137;Pohřebnictví;
144;Lesní hospodářství;
12;Správní poplatky - Matrika;
9124;Vnitřní správa - zdanitelné příjmy;
114;Sociální práce;
165;Státní příspěvek na výkon pěstounské péče;
222;Zaměstnanci z Úřadu práce;
164;Asistenti prevence kriminality;
119;Kultura;
160;MAP rozvoje vzdělávání ORP NMNM;
298;Pronájem - pozemky;
135;Doprava;
113;Kašny;
146;Sportoviště - hřiště;
100;Vodní hospodářství;
19;Správní poplatky - Odbor životního prostředí;
115;Lesní stezky;
31;Správní poplatky - Ověřený výstup z inf. systému veř. správy - KN ;
139;Veřejná zeleň - ostatní;
130;Tržnice;
151;Dům dětí a mládeže;
392;Komunitní dům seniorů NMNM;
136;Veřejné osvětlení;
127;Stavebnictví;
133;Plynovody;
219;Údržba privatizovaných domů;
223;Ekologické nocležiště;
23;Správní poplatky - Informace z informačního systému;
118;Centrum Zdislava;
106;I. základní škola;
107;II. základní škola;
120;Novoměstská kulturní zařízení;
134;Novoměstské sociální služby;
171;Mateřská škola;
224;Farmářské trhy;
181;Novoměstské služby s.r.o.;
140;Zimní údržba;
33;Správní poplatky - Ověřený výstup z inf. systému veř. správy - OR;
40;Správní poplatky - ověřený výstup z IS veřejné správy - registr obyvatel;
386;Podpora zapojování seniorů do aktivního života;
291;Propagace singltreků Novoměstsko;
319;Výkup nemovitostí - běžné;
173;Sociální věci;
336;Pohledec – přesun památníku padlých;
20;Správní poplatky - Myslivecký lístek;
145;Kamenolom;
232;Veřejná zeleň - údržba dřevin;
311;Lokalita 3 kříže - projekt příprava;
27;Správní poplatky - Datové schránky;
177;Dotační programy;
254;ZŠ Malá – vybudování výtahu;
273;Městské lázně – víceúčelový sál;
138;Ostatní služby;
194;Vodní hospodářství a životní prostředí - státní správa;
308;Petrovická - chodník;
261;SDH Studnice – pořízení automobilu;
323;Individulání dotace a dary;
14;správní poplatek - ověřený výstup z insolvenčního rejstříku;
230;Veřejná zeleň - sečení;
380;Drobného – rekonstrukce vodovodu a kanalizace IP SVK;
326;Soškova-Křičkova (křižovatka) - rekonstrukce vodovodu;
264;Luční – rekonstrukce kanalizace;
216;Letní údržba komunikací, čištění;
161;Propagace města;
322;Městský kamerový systém;
294;Olešná – vodovod (PD);
344;Sportovní - lokalita (chodník u gymnázia, parkování u II. ZŠ);
214;Destinace cestovního ruchu Novoměstsko;
101;Ekologické skládky;
363;Nový územní plán;
231;Veřejná zeleň - údržba záhonů;
149;Přemístění ZUŠ;
313;Slavkovice – přístřešek u hasičské zbrojnice;
249;Pohledec - technická infrastruktura 12 rodinných domů;
267;Lokalita u zahradnictví – nákup infrastruktury;
301;Hlinné – altán u kaple s terénními úpravami;
394;Areál Agro vysočina - Depozit Horáckého muzea - příprava;
227;Sportovní hala;
209;Olympijské centrum – příprava;
395;Relaxační park Bezděčka;
332;Realizace památníku padlých;
331;Slavkovice x NMNM -Pořízení pamětní desky ak. malíři O. Blažíčkovi ;
128;Veřejný rozhlas;
217;Jiříkovice – úprava multifunkčního hřiště;
278;SDH Olešná – pořízení automobilu;
275;SDH Petrovice – pořízení automobilu;
276;SDH Slavkovice – pořízení automobilu;
213;Zvyšování kvality MěÚ;
125;Lavičky;
157;Nadační fond města Nového Města na Moravě;
245;Komunitní plán;
152;Digitalizace povodňového plánu;
327;Nad Městem - novostavba vodovodu a kanalizace II b etapa;
116;Základní umělecká škola;
168;BESIP;
321;Vratislavovo nám. - příprava rekonstrukce;
325;Reko kanalizace ul. Drobného - u Enpeky;
265;Lokalita u zahradnictví – novostavba vodovodu a kanalizace;
266;Brožkův kopec - novostavba vodovodu a kanalizace;
282;Rokytno - kanalizace;
269;Olešná - chodník podél st. silnice I/19 II.etapa/ od r. 2017 3. etapa;
391;Olešná-lávka;
270;Pohledec – chodník;
271;Slavkovice – chodník;
183;Zastávky městské hromadné dopravy - investiční část;
274;I. Základní škola - odborné učebny;
176;Deratizace;
158;Cyklodestinace;
338;Bělisko - most;
159;Drobného - rekonstrukce infrastruktury;
348;Lesní - chodník příprava;
263;Cyklostezka Nová Ves – příprava;
387;Tyršova-parkovací místa a chodník;
287;Přechody pro chodce;
371;Drobného-úprava před Enpekou na st. sídlišti vč. Zastávky MHD;
241;Slavkovice - lokalita pro rodinné domy;
207;Olešná - místní komunikace Bobrovská;
247;Bezpečnost dopravy ul.Masarykova, Budovatelů, Hornická – studie;
307;Luční - místní komunikace - rekonstrukce infrastruktury;
305;Parkovací místa a chodník u ŠJ 2.;
368;Dukelská - Rekonstrukce mostu + lávka pro pěší s přechodem;
293;Olešná – rozšíření VO o 3 světelné body;
396;Hřiště pro rekreační sport - malá kopaná a jiné v Novém Městě na Moravě parc. Č. 1583/1;
162;Vybudování lávky na požerák rybníka Koupaliště,NMNM;
166;Přemístění hřiště za DPS;
163;Podpora elektromobility-nákup rychlonabíječky pro jízdní kola;
167;Slavkovice - rekonstrukce dešťové kanalizace;
374;Oprava komunikace – začátek Maršovic-Rychta;
